Rank,Country,Town,County,Coord,Region,Average Instagram hashtags,Total Instagram hashtags,Total Hashtag Searches,
44,England,Rockingham,Northamptonshire,52.289802;-0.913396,East Midlands,5332.624161,1589122,298,
25,England,West Allen,Northumberland,55.25;-2.000559,North East,6965.063205,3085523,443,
29,England,Sherwood Forest,Nottinghamshire,53.1459288;-1.02149711681224,East Midlands,9697.403509,2763760,285,
76,Scotland,Orkney Islands,Orkney,,Scotland,3203.369128,477302,149,
30,England,Henley on Thames,Oxfordshire,51.833333;-1.25,South East,5484.185417,2632409,480,
54,Wales,Guilford,Pembrokeshire,51.8339209;-4.916667,Wales,4350.708029,1192094,274,
52,Scotland,Pitlochry,Perth and Kinross,56.5;-3.75,Scotland,5345.683398,1384532,259,
64,Wales,Bryn Mawr,Powys,52.32714995;-3.35533523947224,Wales,2289.985915,812945,355,
94,Scotland,Renfrew,Renfrewshire,,Scotland,7911.846154,205708,26,
95,England,Aldgate,Rutland,,East Midlands,3420.583333,205235,60,
39,Scotland,Balmoral,Scottish Borders,55.583333;-2.833333,Scotland,6662.495082,2032061,305,
60,Scotland,Langa,Shetland Isles,60.502127;-1.294345,Scotland,3940.235772,969298,246,
35,England,Ludlow,Shropshire,52.65233935;-2.79586785992366,West Midlands,3308.063257,2457891,743,
12,England,Weston super Mare,Somerset,51.083333;-3,South West,4738.310345,4946796,1044,
97,Scotland,Turnberry,South Ayrshire,,Scotland,3800.444444,171020,45,
87,Scotland,Carstairs,South Lanarkshire,,Scotland,6578.822222,296047,45,
51,England,Hay Field,South Yorkshire,53.48153335;-1.38104220661495,Yorkshire and the Humber,3746.269841,1416090,378,
17,England,Tamworth,Staffordshire,52.8246941999999;-2.00745467233481,West Midlands,6430.419735,4366255,679,
68,Scotland,Callander,Stirling,56.2513771;-4.33738578180354,Scotland,4623.791367,642707,139,
23,England,Southwold,Suffolk,52.24100135;1.04668303125652,East England,6606.800416,3177871,481,
16,England,Weybridge,Surrey,51.2715316;-0.34145235112909,South East,12510.90395,4428860,354,
71,Wales,Rhossili,Swansea,51.65458725;-4.00279287481608,Wales,5100.576271,601868,118,
72,Wales,Lowlands,Torfaen,51.697485;-3.052079,Wales,13155.51111,591998,45,
40,England,Whitley Bay,Tyne and Wear,54.9391774;-1.59487118480971,North East,11561.18023,1988523,172,
42,England,Kenilworth,Warwickshire,52.32130635;-1.55369055366613,West Midlands,5785.009009,1926408,333,
93,Scotland,Dumbarton,West Dunbartonshire,,Scotland,11789,223991,19,
80,Scotland,Linlithgow,West Lothian,,Scotland,5849.863014,427040,73,
24,England,Walsall,West Midlands,52.5050033;-1.96439612333127,West Midlands,11259.60498,3163949,281,
19,England,Blackstone,West Sussex,51;-0.416667,South East,9546.255875,3656216,383,
14,England,Ilkley,West Yorkshire,53.7414270999999;-1.72020037667772,Yorkshire and the Humber,7050.136646,4540288,644,
57,Scotland,Outer Hebrides,Western Isles,57.666667;-7.166667,Scotland,3876.858156,1093274,282,
28,England,Marlborough,Wiltshire,51.25;-1.916667,South West,4890.534031,2802276,573,
36,England,Redditch,Worcestershire,52.2109495;-2.15695551324222,West Midlands,4938.734475,2306389,467,
86,Wales,Ash Grove,Wrexham,,Wales,3017.532258,374174,124,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,Wiltshire
,,,,,,,,,Worcestershire
