Rank,Country,Town,County,Coord,Region,Average Instagram hashtags,Total Instagram hashtags,Total Hashtag Searches,
66,England,Chessington,Greater London,51.4893335;-0.144055084527687,London,5335.652482,752327,141,
67,Wales,Llanelli,Carmarthenshire,51.8936698499999;-4.21728272142992,Wales,3624.383085,728501,201,
68,Scotland,Callander,Stirling,56.2513771;-4.33738578180354,Scotland,4598.517986,639194,139,
69,Wales,Aberystwyth,Ceredigion,52.2945764;-3.95278099902914,Wales,3728.758824,633889,170,
70,Wales,Began,Cardiff,51.508862;-3.178947,Wales,13942.95556,627433,45,
71,Wales,Lowlands,Torfaen,51.697485;-3.052079,Wales,13155.51111,591998,45,
72,Wales,Rhossili,Swansea,51.65458725;-4.00279287481608,Wales,5100.576271,601868,118,
73,Wales,Star Hill,Monmouthshire,51.7501058;-2.8333331,Wales,3179.898734,502424,158,
74,Wales,Betws y Coed,Clywd,,Wales,5041.708333,484004,96,
75,Wales,Llangollen,Denbighshire,,Wales,5297.824176,482102,91,
76,Scotland,Orkney Islands,Orkney,,Scotland,3203.369128,477302,149,
77,Northern Ireland,Cookstown,County Tyrone,,Northern Ireland,5297.162791,455556,86,
78,Wales,Risca,Caerphilly,,Wales,6000.930556,432067,72,
79,Scotland,Murrayfield,Edinburgh,,Scotland,6240.956522,430626,69,
80,Scotland,Linlithgow,West Lothian,,Scotland,5849.863014,427040,73,
81,Wales,Stryd,Anglesey,,Wales,3715.318584,419831,113,
82,England,Redfield,Bristol,,South West,12113,411842,34,
83,Northern Ireland,Armagh,County Armagh,,Northern Ireland,7526.830189,398922,53,
84,Scotland,Busby,East Renfrewshire,,Scotland,5977.59375,382566,64,
85,Northern Ireland,Londonderry,County Londonderry,,Northern Ireland,6381.898305,376532,59,
86,Wales,Ash Grove,Wrexham,,Wales,3119.951613,386874,124,
87,Northern Ireland,Bellek,County Fermanagh,,Northern Ireland,5706.118644,336661,59,
88,Wales,Sealand,Flintshire,,Wales,3285.1,328510,100,
89,Scotland,Rosebery,Midlothian,,Scotland,6205.44,310272,50,
90,Scotland,Carstairs,South Lanarkshire,,Scotland,6578.822222,296047,45,
91,Scotland,Milngavie,East Dunbartonshire,,Scotland,8387.814815,226471,27,
92,Scotland,Dumbarton,West Dunbartonshire,,Scotland,11789,223991,19,
93,England,Kingston upon Hull,East Riding of Yorkshire,,Yorkshire and the Humber,6376.228571,223168,35,
94,Scotland,Renfrew,Renfrewshire,,Scotland,7911.846154,205708,26,
95,England,Aldgate,Rutland,,East Midlands,3375.65,202539,60,
96,Wales,Porthcawl,Bridgend,,Wales,19377.1,193771,10,
97,Scotland,Turnberry,South Ayrshire,,Scotland,3800.444444,171020,45,
98,Scotland,West Ferry,Dundee,,Scotland,5276.190476,110800,21,
99,England,Shepperton,Middlesex,,London,51006.5,102013,2,
100,Wales,Merthyr Tydfil,Merthyr Tydfil,,Wales,4247.095238,89189,21,
101,Scotland,Alloa,Clackmannanshire,,Scotland,2351.666667,56440,24,
102,Scotland,West Kilbride,North Ayrshire,,Scotland,1213.375,38828,32,
103,Scotland,Quarrier's Village,Inverclyde,,Scotland,1258,11322,9,
104,Scotland,Borrowstounness,Falkirk,,Scotland,1441.666667,4325,3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
